Z      N      A      Binding_Energy_(MeV)    beta2_total    Q20_total      beta3_total    fileID    Convergence    
90     176    266    -1875.92871             0.074393       9.344916       0.0            6564      YES            
90     178    268    -1881.269994            -0.058285      -7.413142      0.0            6583      YES            
90     180    270    -1886.246086            -0.0           -1e-06         0.0            6605      YES            
90     182    272    -1891.26311             -0.0           -1e-06         0.0            6626      YES            
90     184    274    -1895.359839            -0.0           -0.0           0.0            6647      YES            
90     186    276    -1895.057707            -0.0           -0.0           0.0            6668      YES            
90     188    278    -1894.003973            -0.0           -0.0           0.0            6689      YES            
90     200    290    -1894.433753            0.196305       29.3775        0.0            6711      YES            
90     202    292    -1894.770933            0.207584       31.510688      0.0            6732      YES            
90     204    294    -1894.618787            0.215373       33.135414      0.0            6753      YES            
90     206    296    -1893.940217            0.220429       34.354755      0.0            6774      YES            
90     208    298    -1892.842694            0.223774       35.325376      0.0            6795      YES            
90     210    300    -1891.490093            0.226065       36.148215      0.0            6816      YES            
90     212    302    -1890.033416            0.227779       36.891755      0.0            6837      YES            
90     214    304    -1888.536912            0.228976       37.557969      0.0            6858      YES            
90     216    306    -1886.816536            0.228559       37.953612      0.0            6879      YES            
90     218    308    -1884.692771            0.225863       37.955741      0.0            6900      YES            
90     220    310    -1882.264575            0.221541       37.670826      0.0            6921      YES            
90     222    312    -1879.691696            0.216676       37.285111      0.0            6942      YES            
90     226    316    -1874.321199            0.20625        36.353966      0.0            6967      YES            
92     112    204    -1523.791203            0.21511        17.288782      0.0            6985      YES            
92     114    206    -1544.680565            0.191792       15.605555      0.0            7006      YES            
92     116    208    -1565.408736            0.168824       13.914043      0.0            7027      YES            
92     118    210    -1585.387233            0.142901       11.93175       0.0            7047      YES            
92     120    212    -1604.58101             -0.125654      -10.636514     0.0            7065      YES            
92     122    214    -1624.223967            -0.088083      -7.546746      0.0            7087      YES            
92     124    216    -1643.81945             -0.021733      -1.88597       0.0            7108      YES            
92     126    218    -1662.974055            0.0            0.0            0.0            7130      YES            
92     128    220    -1675.2206              -0.000231      -0.020686      0.0            7150      YES            
92     140    232    -1756.421045            0.248218       24.901442      0.0            7180      YES            
92     142    234    -1768.480126            0.257675       26.268388      0.0            7201      YES            
92     144    236    -1779.825058            0.26482        27.420015      0.0            7215      YES            
92     146    238    -1790.374068            0.26842        28.20699       0.0            7236      YES            
92     148    240    -1800.234662            0.267821       28.541097      0.0            7257      YES            
92     150    242    -1809.392646            0.263821       28.496034      0.0            7278      YES            
92     152    244    -1817.85411             0.258293       28.276416      0.0            7299      YES            
92     154    246    -1825.936333            0.252292       27.992826      0.0            7320      YES            
92     164    256    -1862.578713            0.19915        23.537565      0.0            7341      YES            
92     166    258    -1868.520311            0.180598       21.59732       0.0            7362      YES            
92     168    260    -1874.629579            0.159351       19.281416      0.0            7383      YES            
92     170    262    -1881.055056            0.137923       16.888576      0.0            7404      YES            
92     172    264    -1887.526475            0.12113        15.016952      0.0            7425      YES            
92     174    266    -1893.474211            0.104409       13.102057      0.0            7446      YES            
92     176    268    -1899.317027            -0.082318      -10.451593     0.0            7462      YES            
92     178    270    -1905.386131            -0.05466       -7.025265      0.0            7484      YES            
92     180    272    -1911.198088            -0.0           -1e-06         0.0            7508      YES            
92     182    274    -1916.663504            -0.0           -1e-06         0.0            7529      YES            
92     184    276    -1921.240375            -0.0           -0.0           0.0            7550      YES            
92     186    278    -1921.560404            -0.0           -0.0           0.0            7571      YES            
92     188    280    -1921.096676            -0.0           -0.0           0.0            7592      YES            
92     200    292    -1926.384655            0.206549       31.218853      0.0            7614      YES            
92     202    294    -1927.544431            0.217436       33.330354      0.0            7635      YES            
92     204    296    -1928.180393            0.224896       34.935139      0.0            7656      YES            
92     206    298    -1928.234352            0.229587       36.120052      0.0            7677      YES            
92     208    300    -1927.785063            0.232406       37.023611      0.0            7698      YES            
92     210    302    -1927.002402            0.234131       37.769088      0.0            7719      YES            
92     212    304    -1926.083935            0.235456       38.462882      0.0            7740      YES            
92     214    306    -1925.121957            0.236297       39.081535      0.0            7761      YES            
92     216    308    -1923.901179            0.23554        39.426767      0.0            7782      YES            
92     218    310    -1922.202854            0.232524       39.374737      0.0            7803      YES            
92     220    312    -1920.139275            0.227941       39.042494      0.0            7824      YES            
92     222    314    -1917.906906            0.222827       38.611861      0.0            7845      YES            
92     224    316    -1915.585826            0.217314       38.100484      0.0            7866      YES            
92     226    318    -1913.186204            0.211051       37.435947      0.0            7887      YES            
92     228    320    -1910.654736            0.203377       36.484732      0.0            7912      YES            
92     230    322    -1908.065053            0.192057       34.824148      0.0            7933      YES            
92     232    324    -1905.482256            0.180081       33.008268      0.0            7954      YES            
92     234    326    -1902.685581            0.168759       31.278766      0.0            7975      YES            
92     236    328    -1899.671801            0.157194       29.458617      0.0            7996      YES            
92     238    330    -1896.644345            0.145337       27.539685      0.0            8015      YES            
94     116    210    -1563.199456            0.180162       15.117927      0.0            8035      YES            
94     118    212    -1583.953224            0.150997       12.827257      0.0            8055      YES            
94     120    214    -1603.871442            -0.135155      -11.640748     0.0            8073      YES            
94     122    216    -1624.044074            -0.09533       -8.304836      0.0            8093      YES            
94     124    218    -1644.387256            -0.029539      -2.604018      0.0            8116      YES            
94     126    220    -1664.362058            0.0            0.0            0.0            8138      YES            
94     128    222    -1677.517141            0.0            0.0            0.0            8159      YES            
94     142    236    -1778.479325            0.264675       27.377012      0.0            8188      YES            
94     144    238    -1790.912258            0.27218        28.592506      0.0            8209      YES            
94     146    240    -1802.53426             0.275821       29.403685      0.0            8223      YES            
94     148    242    -1813.458973            0.275296       29.757607      0.0            8244      YES            
94     150    244    -1823.632447            0.272115       29.812128      0.0            8265      YES            
94     152    246    -1832.93415             0.26801        29.76146       0.0            8286      YES            
94     154    248    -1841.6883              0.262985       29.59489       0.0            8307      YES            
94     156    250    -1850.267558            0.256462       29.237204      0.0            8328      YES            
94     164    258    -1881.037172            0.207633       24.851707      0.0            8349      YES            
94     166    260    -1887.493905            0.188174       22.78173       0.0            8370      YES            
94     168    262    -1894.145251            0.168013       20.575804      0.0            8391      YES            
